,formula,bandgap,effective_mass_n,effective_mass_p,ave_ele_diele,ave_ion_diele,formation_energy
290,CsVO3,5.5648,96.47159481879467,36.00874289981949,3.37706,4.6446803333333335,-2.4180726150862073
291,CsTlO,2.6455999999999995,1.219731064183817,9.978094992193608,5.259154666666667,5.959257000000001,-1.1640747204214557
292,CsY(WO4)2,5.0039,91.48002181854302,9.93739272093095,4.723101666666667,9.826385666666667,-2.63962112954981
293,Cu2PbO2,1.3041999999999998,1.2535465446523117,6.464342344581347,7.995853,6.585559666666666,-0.9810454259999997
294,CsYO2,4.869400000000001,1.4654654251197856,5.7737185284972465,4.2067206666666666,13.088968333333334,-2.948288286149425
295,CuAsPbO4,3.6326,2.695541478051462,24.791264243712526,4.596036333333333,7.976665666666666,-1.5037404307142852
296,Ga2O3,4.77,0.7780751766400518,10.371087522049336,4.106604999999999,7.704474333333333,-2.268996668999999
297,Ga2PbO4,5.2946,18.621504198870813,11.29703695293699,4.179442666666667,20.079409666666667,-2.070018908571428
298,Ga4GeO8,4.8808,0.8764040559989529,22.30273895706754,3.9217896666666667,6.585408000000001,-2.232362397307691
299,GaBPbO4,4.8388,2.332409693281681,8.499192375397218,4.370399333333333,8.781319666666667,-2.299635754880952
300,GaAgO2,2.0340000000000007,1.2755510660027876,4.370267138172515,6.218566666666667,5.033983333333333,-1.5849508985416665
301,GaAsO4,6.5921,1.3815012157654065,30.884753466319598,3.164008666666667,3.2865456666666666,-1.9411355259722214
302,GaCuO2,2.6372,1.5394887711050438,9.800202000770401,5.181799333333333,4.478015,-1.6750175293749994
303,GePbO3,4.3591,1.8740502228089069,8.791241874770996,4.092374666666667,8.621106666666668,-1.9292281530000004
304,GeO2,6.292800000000001,1.1732202156025393,28.56494503384766,3.2787089999999997,3.2441940000000002,-2.077037438333334
305,Ge3Sb2O9,4.9162,3.3021373513123153,5.164107244408756,3.916066333333333,5.2426889999999995,-1.9797399339285713
306,GaSbO4,3.2138999999999998,0.7530319708071547,4.706573539280149,4.5586633333333335,8.528592,-2.0545152529166666
